algoritmo,metodo,funcao,seed,n,t_max,w_max,w_min,c1,c2,v_max,alpha,A,lambda,Q,d_nuc,d_rep,f_final,x_final,y_final
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,0.500000,,,,0.004000,-0.003857,-0.002299
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,1.000000,,,,0.033453,0.010906,0.007053
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,1.000000,,,,0.033258,0.012951,-0.000100
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,1.000000,,,,0.007471,-0.005363,-0.002983
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,2.000000,,,,0.220964,-0.031281,-0.011766
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,2.000000,,,,0.053278,0.005037,-0.015600
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,2.000000,,,,0.196534,0.021223,-0.023278
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,0.500000,,,,0.015986,-0.002720,0.008556
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,0.500000,,,,0.013194,0.004269,0.006949
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,0.500000,,,,0.006046,0.005244,-0.001726
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,1.000000,,,,0.026971,-0.003734,-0.011048
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,1.000000,,,,0.056219,-0.006944,-0.015341
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,1.000000,,,,0.012238,0.004955,-0.006094
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,2.000000,,,,0.011585,-0.001516,0.007490
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,2.000000,,,,0.008579,-0.004323,-0.004956
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,1.000000,2.000000,,,,0.000506,-0.000487,-0.001522
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,0.500000,,,,0.007542,0.005689,0.002378
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,0.500000,,,,0.300787,0.016154,-0.035505
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,0.500000,,,,0.168393,-0.010148,-0.027344
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,1.000000,,,,0.044559,0.012308,0.008557
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,1.000000,,,,0.066629,-0.016853,0.007217
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,1.000000,,,,0.063484,0.012931,0.012368
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,2.000000,,,,0.011107,0.007476,0.000325
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,2.000000,,,,0.064110,-0.012553,0.012874
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,3.000000,2.000000,,,,0.085140,-0.004116,0.020317
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,0.500000,,,,0.009534,-0.006912,0.000535
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,0.500000,,,,0.156546,-0.019500,-0.020244
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,0.500000,,,,0.069394,0.009290,-0.016240
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,1.000000,,,,0.132147,0.013185,-0.022207
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,1.000000,,,,0.259733,-0.028947,-0.021779
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,1.000000,,,,0.027717,0.004689,-0.010852
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,2.000000,,,,0.006321,-0.002665,0.004976
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,2.000000,,,,0.255334,0.035930,0.001219
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,1.000000,5.000000,2.000000,,,,0.024728,0.011128,-0.000934
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,2.000000,0.657804,-0.055609,-0.015960
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,2.000000,0.913028,-0.039411,0.055569
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,2.000000,0.116477,-0.019459,0.014459
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,5.000000,0.331000,0.037770,0.015770
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,5.000000,0.572149,0.028092,0.045949
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,5.000000,0.110547,-0.003123,-0.023419
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,10.000000,0.882426,0.004394,-0.067040
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,10.000000,0.065924,0.014456,-0.011114
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.010000,10.000000,0.253341,0.015215,-0.032392
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,2.000000,0.333992,-0.040577,-0.006773
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,2.000000,0.675019,0.030146,-0.050170
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,2.000000,1.211088,0.030300,0.981753
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,5.000000,0.386359,0.004074,-0.044082
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,5.000000,0.048531,0.012702,-0.009131
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,5.000000,1.055461,-0.017051,-0.991147
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,10.000000,0.923753,-0.068316,0.007742
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,10.000000,0.224466,-0.032527,0.008780
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,1.000000,0.100000,10.000000,0.018064,-0.001010,0.009490
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,2.000000,1.355410,-0.988483,-0.042254
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,2.000000,1.300140,0.028207,-0.967604
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,2.000000,1.302486,-0.016927,1.030550
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,5.000000,0.999329,-0.995162,-0.004689
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,5.000000,3.726858,0.913142,0.947308
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,5.000000,0.201286,-0.001165,-0.031884
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,10.000000,1.418086,1.030009,-0.030160
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,10.000000,1.370322,-0.082616,0.015265
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.010000,10.000000,1.416207,0.023728,0.081994
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,2.000000,1.326198,-1.033175,0.014604
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,2.000000,1.005119,-0.006530,0.997887
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,2.000000,1.343023,-0.034751,-1.018452
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,5.000000,3.479978,0.907213,0.987805
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,5.000000,2.297361,1.025270,-1.020115
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,5.000000,2.050417,0.997128,1.012289
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,10.000000,1.830134,-0.982783,-0.064163
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,10.000000,1.080430,-0.073142,-0.013760
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,3.000000,0.100000,10.000000,0.600113,-0.050287,0.022755
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,2.000000,1.191381,0.974229,-0.023724
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,2.000000,0.864864,-0.004792,0.066328
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,2.000000,0.510371,-0.050772,0.004050
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,5.000000,4.755494,-0.936639,-0.128358
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,5.000000,2.276197,-0.078320,-1.016091
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,5.000000,4.494185,1.074933,-0.914310
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,10.000000,9.308651,-0.860167,2.060192
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,10.000000,5.348587,1.028887,-0.865207
CP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.010000,10.000000,9.329383,3.005108,0.038561
CP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,2.000000,2.100966,0.929200,0.036580
CP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,5.000000,0.100000,2.000000,2.183828,1.070595,-0.018787
